00158063-n	gla:example	roghainn MhicIlip - gabh no fàg	DS
00158423-n	gla:lemma	taghadh	DS
00158559-n	gla:lemma	dathadh	DS
00158559-n	gla:gloss	roghainn dhathan mar le neach-ealain	DS
00158708-n	gla:lemma	sampladh	DS
00158708-n	gla:gloss	taghadh sampall iomchaidh mar chuspair	DS
00159452-n	gla:lemma	co-dhùnadh	DS
00159452-n	gla:gloss	a' dèanamh suas d' inntinn mu rudeigin	DS
00159867-n	gla:lemma	deòin	DS
00159867-n	gla:gloss	toil taghadh a dhèanamh	DS
00159867-n	gla:example	do thoil fhèin!	DS
00160226-n	gla:lemma	an dà là	DS
00160226-n	gla:gloss	atharrachadh mòr air beachdan no prionnsapalan	DS
00160450-n	gla:lemma	truailleadh	DS
00161165-n	gla:lemma	sònrachadh	DS
00161165-n	gla:gloss	riarachadh rudeigin air àiteachan no daoine sònraichte	DS
00161399-n	gla:lemma	riarachadh	DS
00161399-n	gla:gloss	a' cur sheòlaidhean sònraichte ann an raointean sònraichte air diosg magnatach	DS
00162992-n	gla:lemma	turas	DS
00162992-n	gla:gloss	gluasad le cuideigin a rèir riaghailtean a' ghèama	DS
00165478-n	gla:lemma	imrich	EOMW
00165478-n	gla:gloss	NO_GLOSS	EOMW
00169142-n	gla:lemma	mealladh	EOMW
00169142-n	gla:gloss	NO_GLOSS	EOMW
00169254-n	gla:lemma	dòigh	EOMW
00169254-n	gla:gloss	NO_GLOSS	EOMW
00169254-n	gla:lemma	modh	EOMW
00169254-n	gla:gloss	NO_GLOSS	EOMW
00170305-n	gla:lemma	inneal	EOMW
00170305-n	gla:gloss	NO_GLOSS	EOMW
00173671-n	gla:lemma	modh diagnosach	DS
00174327-n	gla:lemma	modh-èiginn	DS
00174568-n	gla:lemma	modh-deuchainn	DS
00176880-n	gla:lemma	uchd-mhacachd	EOMW
00176880-n	gla:gloss	NO_GLOSS	EOMW
00177429-n	gla:lemma	taghadh	DS
00177429-n	gla:gloss	roghnachadh rudeigin no cuideigin	DS
00177840-n	gla:lemma	ath-thaghadh	DS
00177840-n	gla:gloss	taghadh a-rithist	DS
00177962-n	gla:lemma	sluagh-bhreith	DS
00177962-n	gla:gloss	bhòt leis an luchd-taghaidh gus beachd an t-sluaigh fhaighinn air ceist chudromach nàiseanta	DS
00178107-n	gla:lemma	reifreann	EOMW
00178107-n	gla:gloss	NO_GLOSS	EOMW
00178248-n	gla:lemma	taghadh	EOMW
00178248-n	gla:gloss	NO_GLOSS	EOMW
00178680-n	gla:lemma	bhòt	DS
00178902-n	gla:lemma	taghadh-coitcheann	DS
00179038-n	gla:lemma	ro-thaghadh	DS
00179038-n	gla:gloss	taghadh an toisach nuair a thèid tagraichean a thaghadh	DS
00179707-n	gla:lemma	fo-thaghadh	EOMW
00179707-n	gla:gloss	NO_GLOSS	EOMW
00179707-n	gla:lemma	frith-thaghadh	EOMW
00179707-n	gla:gloss	NO_GLOSS	EOMW
00179824-n	gla:lemma	ath-thaghadh	DS
00179824-n	gla:gloss	taghadh deireannach gus taghadh roimhe a shocrachadh	DS
00179972-n	gla:lemma	bhòtadh	DS
00179972-n	gla:gloss	roghainn ga dèanamh le bhith a' cunntadh àireamh nan daoine airson gach taghaidh	DS
00183698-n	gla:lemma	tadhal	EOMW
00183698-n	gla:gloss	NO_GLOSS	EOMW
00187503-n	gla:lemma	atharrachadh	DS
00187503-n	gla:gloss	mùthadh air rudeigin	DS
